alg,rep,TI,Similarity
MCMC,0,22.585419004407147,0.0894396551724138
MCMC,1,22.585419004407147,0.09267241379310345
MCMC,2,22.585419004407147,0.07974137931034483
MCMC,3,22.585419004407147,0.07866379310344827
MCMC,4,22.585419004407147,0.07866379310344827
MCMC,5,22.585419004407147,0.08297413793103449
MCMC,6,22.585419004407147,0.08189655172413793
MCMC,7,22.585419004407147,0.09051724137931035
MCMC,8,22.585419004407147,0.09051724137931035
MCMC,9,22.585419004407147,0.07758620689655173
MCMC,10,22.585419004407147,0.08405172413793104
MCMC,11,22.585419004407147,0.07327586206896551
MCMC,12,22.585419004407147,0.07650862068965517
MCMC,13,22.585419004407147,0.07327586206896551
MCMC,14,22.585419004407147,0.08189655172413793
MCMC,15,22.585419004407147,0.07004310344827586
MCMC,16,22.585419004407147,0.07112068965517242
MCMC,17,22.585419004407147,0.07866379310344827
MCMC,18,22.585419004407147,0.06896551724137931
MCMC,19,22.585419004407147,0.07435344827586207
MCMC,20,22.585419004407147,0.07758620689655173
MCMC,21,22.585419004407147,0.08189655172413793
MCMC,22,22.585419004407147,0.08405172413793104
MCMC,23,22.585419004407147,0.09159482758620689
MCMC,24,22.585419004407147,0.0668103448275862
MCMC,25,22.585419004407147,0.09698275862068965
MCMC,26,22.585419004407147,0.08405172413793104
MCMC,27,22.585419004407147,0.08728448275862069
MCMC,28,22.585419004407147,0.08620689655172414
MCMC,29,22.585419004407147,0.08836206896551724
GREEDY,0,22.585419004407147,0.8286637931034483
GREEDY,1,22.585419004407147,0.8286637931034483
GREEDY,2,22.585419004407147,0.8383620689655172
GREEDY,3,22.585419004407147,0.8275862068965517
GREEDY,4,22.585419004407147,0.8178879310344828
GREEDY,5,22.585419004407147,0.822198275862069
GREEDY,6,22.585419004407147,0.8189655172413793
GREEDY,7,22.585419004407147,0.8211206896551724
GREEDY,8,22.585419004407147,0.8308189655172413
GREEDY,9,22.585419004407147,0.8318965517241379
GREEDY,10,22.585419004407147,0.8178879310344828
GREEDY,11,22.585419004407147,0.8232758620689655
GREEDY,12,22.585419004407147,0.8092672413793104
GREEDY,13,22.585419004407147,0.8211206896551724
GREEDY,14,22.585419004407147,0.8189655172413793
GREEDY,15,22.585419004407147,0.8178879310344828
GREEDY,16,22.585419004407147,0.8157327586206896
GREEDY,17,22.585419004407147,0.8232758620689655
GREEDY,18,22.585419004407147,0.8189655172413793
GREEDY,19,22.585419004407147,0.8168103448275862
GREEDY,20,22.585419004407147,0.8232758620689655
GREEDY,21,22.585419004407147,0.8200431034482759
GREEDY,22,22.585419004407147,0.8254310344827587
GREEDY,23,22.585419004407147,0.8308189655172413
GREEDY,24,22.585419004407147,0.8329741379310345
GREEDY,25,22.585419004407147,0.8275862068965517
GREEDY,26,22.585419004407147,0.8383620689655172
GREEDY,27,22.585419004407147,0.8297413793103449
GREEDY,28,22.585419004407147,0.8275862068965517
GREEDY,29,22.585419004407147,0.8286637931034483
